ID,stationName,Date,Time,Status,Frequency,df/dt,B345_BUSA_VS Magnitude,B345_BUSA_VS Angle,B345_BUSB_VS Magnitude,B345_BUSB_VS Angle,T115_T1X_VS Magnitude,T115_T1X_VS Angle,T115_T2X_VS Magnitude,T115_T2X_VS Angle,L345_3165_IS Magnitude,L345_3165_IS Angle,L345_3619_IS Magnitude,L345_3619_IS Angle,L345_3280_IS Magnitude,L345_3280_IS Angle,L345_3921_IS Magnitude,L345_3921_IS Angle,T115_T1X_IS Magnitude,T115_T1X_IS Angle,T115_T2X_IS Magnitude,T115_T2X_IS Angle
99999,XXXXX,1/7/2021,12:13:37.400,00 00,60,0,357041.25,-179.575867,356680.1563,-179.547211,117987.6016,-171.445602,118484.3594,177.14682,227.053925,-130.920288,230.71608,-132.175079,496.222687,-156.239288,498.969299,-155.855408,2025.174438,-172.562851,797.435364,-3.844826
99999,XXXXX,1/7/2021,12:13:37.433,00 00,60,0,357052.1875,-179.575867,356680.1563,-179.547211,117985.4063,-171.445602,118482.1641,177.14682,227.969467,-130.971863,230.71608,-132.169342,498.053772,-156.273682,499.884827,-155.798111,2026.089966,-172.557129,797.435364,-3.884933
99999,XXXXX,1/7/2021,12:13:37.467,00 00,60,0,357052.1875,-179.575867,356691.0938,-179.547211,117985.4063,-171.451324,118484.3594,177.141083,227.969467,-130.771332,230.71608,-132.100586,498.053772,-156.12471,499.884827,-155.798111,2025.174438,-172.568588,797.435364,-3.873472
99999,XXXXX,1/7/2021,12:13:37.500,00 00,60,0,357052.1875,-179.575867,356680.1563,-179.547211,117985.4063,-171.451324,118479.9766,177.141083,228.884995,-130.782776,230.71608,-132.134964,499.884827,-156.113251,500.800385,-155.815308,2026.089966,-172.574326,798.350891,-3.884933
99999,XXXXX,1/7/2021,12:13:37.533,00 00,60,0,357041.25,-179.581604,356680.1563,-179.552948,117983.2109,-171.451324,118473.4141,177.141083,228.884995,-130.983322,230.71608,-132.089127,498.969299,-156.141891,499.884827,-155.878326,2026.089966,-172.568588,798.350891,-3.850564
99999,XXXXX,1/7/2021,12:13:37.567,00 00,60,0,357019.3438,-179.575867,356669.2188,-179.547211,117981.0391,-171.451324,118475.6016,177.141083,228.884995,-130.908829,230.71608,-132.238083,498.053772,-156.010117,498.969299,-155.838226,2025.174438,-172.557129,798.350891,-3.862011
99999,XXXXX,1/7/2021,12:13:37.600,00 00,60,0,357063.125,-179.575867,356691.0938,-179.547211,117985.4063,-171.445602,118488.7266,177.14682,227.053925,-130.989044,230.71608,-132.289658,497.138214,-156.199188,498.969299,-155.90126,2025.174438,-172.551407,797.435364,-3.810457
99999,XXXXX,1/7/2021,12:13:37.633,00 00,60,0,357063.125,-179.575867,356691.0938,-179.541489,117985.4063,-171.445602,118488.7266,177.14682,227.969467,-130.960388,230.71608,-132.197983,497.138214,-156.08461,498.969299,-155.843964,2024.258911,-172.551407,797.435364,-3.798995
99999,XXXXX,1/7/2021,12:13:37.667,00 00,60,0,357052.1875,-179.570145,356691.0938,-179.541489,117985.4063,-171.439865,118484.3594,177.152542,227.969467,-131.063538,230.71608,-132.175079,498.053772,-156.279404,499.884827,-155.832504,2025.174438,-172.54567,797.435364,-3.804719
99999,XXXXX,1/7/2021,12:13:37.700,00 00,60,0,357063.125,-179.564407,356702.0625,-179.541489,117985.4063,-171.439865,118486.5391,177.152542,227.969467,-130.857269,230.71608,-132.037552,498.053772,-156.256485,499.884827,-155.866867,2024.258911,-172.528488,797.435364,-3.821904
99999,XXXXX,1/7/2021,12:13:37.733,00 00,60,0,357052.1875,-179.558685,356691.0938,-179.530029,117985.4063,-171.434143,118486.5391,177.158279,227.969467,-130.576508,229.800537,-131.877121,498.969299,-156.096054,498.969299,-155.775192,2023.343384,-172.517029,799.266418,-3.798995
99999,XXXXX,1/7/2021,12:13:37.767,00 00,60,0,357052.1875,-179.552948,356680.1563,-179.524292,117985.4063,-171.428406,118488.7266,177.164001,227.969467,-130.822891,230.71608,-132.089127,498.969299,-156.113251,498.969299,-155.826767,2024.258911,-172.522751,798.350891,-3.798995
99999,XXXXX,1/7/2021,12:13:37.800,00 00,60,0,357052.1875,-179.541489,356680.1563,-179.512848,117987.6016,-171.422684,118488.7266,177.175461,227.969467,-130.673904,230.71608,-132.129227,498.053772,-156.027298,499.884827,-155.849686,2023.343384,-172.505569,798.350891,-3.758889
99999,XXXXX,1/7/2021,12:13:37.833,00 00,60,0,357063.125,-179.535751,356702.0625,-179.507111,117989.7891,-171.411224,118493.1016,177.181183,227.969467,-130.685379,230.71608,-131.802658,497.138214,-156.038757,499.884827,-155.78093,2024.258911,-172.517029,798.350891,-3.781797
99999,XXXXX,1/7/2021,12:13:37.867,00 00,60.000999,0,357052.1875,-179.524292,356702.0625,-179.495651,117989.7891,-171.405502,118488.7266,177.19838,227.053925,-130.691116,230.71608,-131.922974,498.053772,-156.199188,500.800385,-155.866867,2023.343384,-172.505569,798.350891,-3.827641
99999,XXXXX,1/7/2021,12:13:37.900,00 00,60,0,357063.125,-179.512848,356702.0625,-179.484192,117991.9688,-171.394028,118488.7266,177.204102,227.969467,-130.840073,230.71608,-131.957336,498.969299,-156.067398,500.800385,-155.872604,2024.258911,-172.476913,798.350891,-3.776073
99999,XXXXX,1/7/2021,12:13:37.933,00 00,60,0,357063.125,-179.501389,356691.0938,-179.472748,117991.9688,-171.382568,118488.7266,177.215576,227.969467,-130.817169,229.800537,-132.071945,498.969299,-156.285141,500.800385,-155.803848,2022.427856,-172.49411,798.350891,-3.730229
99999,XXXXX,1/7/2021,12:13:37.967,00 00,60.000999,0,357063.125,-179.489929,356691.0938,-179.461273,117991.9688,-171.371109,118488.7266,177.227036,227.969467,-130.645279,230.71608,-131.791199,498.969299,-156.147614,499.884827,-155.792389,2024.258911,-172.465454,798.350891,-3.764612
99999,XXXXX,1/7/2021,12:13:38.000,00 00,60.000999,0,357063.125,-179.472748,356691.0938,-179.444077,117994.1641,-171.353928,118490.9219,177.244217,227.053925,-130.570801,230.71608,-131.751083,498.053772,-156.021576,499.884827,-155.689255,2022.427856,-172.465454,798.350891,-3.735967
99999,XXXXX,1/7/2021,12:13:38.033,00 00,60.000999,0,357074.0625,-179.461273,356691.0938,-179.426895,117996.3516,-171.342468,118493.1016,177.261398,227.053925,-130.290024,229.800537,-131.567734,498.053772,-155.866867,498.969299,-155.689255,2022.427856,-172.465454,798.350891,-3.735967
99999,XXXXX,1/7/2021,12:13:38.067,00 00,60.000999,0,357052.1875,-179.444077,356680.1563,-179.409714,117994.1641,-171.325272,118484.3594,177.278595,226.138382,-130.582245,228.884995,-131.905777,498.053772,-156.17627,499.884827,-155.855408,2022.427856,-172.425354,798.350891,-3.678675
99999,XXXXX,1/7/2021,12:13:38.100,00 00,60.001999,0,357063.125,-179.421173,356702.0625,-179.392517,117996.3516,-171.30809,118490.9219,177.295776,227.053925,-130.421814,229.800537,-131.63649,497.138214,-156.113251,499.884827,-155.740829,2022.427856,-172.425354,798.350891,-3.661477
99999,XXXXX,1/7/2021,12:13:38.133,00 00,60.000999,0,357063.125,-179.403976,356702.0625,-179.375336,117996.3516,-171.290894,118488.7266,177.312973,227.053925,-130.593689,230.71608,-131.619308,498.053772,-156.12471,500.800385,-155.746552,2022.427856,-172.396713,798.350891,-3.650016
99999,XXXXX,1/7/2021,12:13:38.167,00 00,60.000999,0,357052.1875,-179.386795,356691.0938,-179.358139,117996.3516,-171.267975,118486.5391,177.330154,227.053925,-130.616623,229.800537,-131.567734,498.969299,-156.12471,499.884827,-155.672073,2022.427856,-172.390976,799.266418,-3.661477
99999,XXXXX,1/7/2021,12:13:38.200,00 00,60.001999,0,357052.1875,-179.34668,356669.2188,-179.318039,117994.1641,-171.233612,118486.5391,177.364532,227.969467,-130.232727,228.884995,-131.567734,499.884827,-155.947083,500.800385,-155.59758,2023.343384,-172.350876,799.266418,-3.598461
99999,XXXXX,1/7/2021,12:13:38.233,00 00,60.000999,0,357041.25,-179.33522,356680.1563,-179.300858,117991.9688,-171.216415,118486.5391,177.381714,227.053925,-130.112411,229.800537,-131.550552,498.969299,-155.849686,499.884827,-155.528824,2023.343384,-172.310776,799.266418,-3.587
99999,XXXXX,1/7/2021,12:13:38.267,00 00,60.000999,0,357052.1875,-179.318039,356691.0938,-179.289398,117991.9688,-171.199219,118490.9219,177.398911,227.053925,-130.27858,229.800537,-131.653671,498.053772,-155.987198,499.884827,-155.689255,2023.343384,-172.310776,798.350891,-3.546893
99999,XXXXX,1/7/2021,12:13:38.300,00 00,60.001999,0,357052.1875,-179.266464,356680.1563,-179.237823,117991.9688,-171.147659,118488.7266,177.45047,226.138382,-130.255661,229.800537,-131.45314,498.053772,-155.94136,500.800385,-155.574661,2023.343384,-172.264923,798.350891,-3.478141
99999,XXXXX,1/7/2021,12:13:38.333,00 00,60.000999,0,357052.1875,-179.272186,356680.1563,-179.237823,117989.7891,-171.147659,118484.3594,177.45047,227.053925,-130.450485,228.884995,-131.619308,498.969299,-156.050217,500.800385,-155.654877,2023.343384,-172.264923,798.350891,-3.518248
99999,XXXXX,1/7/2021,12:13:38.367,00 00,60.001999,0,357041.25,-179.220642,356680.1563,-179.191986,117987.6016,-171.096085,118484.3594,177.496323,227.053925,-130.301498,229.800537,-131.372925,499.884827,-155.775192,501.715912,-155.568939,2023.343384,-172.207626,798.350891,-3.39219
99999,XXXXX,1/7/2021,12:13:38.400,00 00,60.001999,0,357052.1875,-179.191986,356680.1563,-179.16333,117985.4063,-171.073181,118484.3594,177.524963,227.053925,-130.198364,228.884995,-131.435959,500.800385,-155.975723,501.715912,-155.517365,2023.343384,-172.173248,798.350891,-3.409374
99999,XXXXX,1/7/2021,12:13:38.433,00 00,60.001999,0,357041.25,-179.16333,356680.1563,-179.134689,117983.2109,-171.044525,118484.3594,177.553604,227.053925,-130.215546,228.884995,-131.476059,499.884827,-155.935623,500.800385,-155.505905,2025.174438,-172.15033,797.435364,-3.409374
99999,XXXXX,1/7/2021,12:13:38.467,00 00,60.000999,0,357041.25,-179.134689,356680.1563,-179.106049,117981.0391,-171.010147,118488.7266,177.58226,227.053925,-130.083786,228.884995,-131.309906,499.884827,-155.758011,500.800385,-155.454346,2025.174438,-172.087311,797.435364,-3.375005
